,[Paul McCartney],[Instrumental],title,[Verse 1: John Lennon],[Verse 2: John Lennon],[Bridge: Paul McCartney],[Verse 1: John Lennon]2,[Verse 1],[Chorus],[Verse 2],[Chorus]2,[Bridge],[Verse 2]2,[Verse 3],[Chorus]3,[x2],[Intro],[Pre-Chorus],[Refrain: John Lennon],[Bridge]2,[Chorus 1],[Instrumental Break],[Outro],[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Bridge 1],[Bridge 2],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Intro: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Verse 2: John Lennon & Paul McCartney],[Bridge: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney]2,[Intro: Paul McCartney & <br/>John Lennon<br/>],[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[​​Interlude: Paul McCartney],"[Chorus: John Lennon, Paul McCartney, George Harrison]","[Chorus: John Lennon, Paul McCartney, George Harrison]2","[Bridge: John Lennon, <br/>Paul McCartney & George Harrison<br/>]",[Refrain],[Refrain]2,[Instrumental bridge],[Verse 2]3,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,[Guitar solo],[French Horn Solo],[Chorus: John Lennon],[Chorus: John Lennon]2,[Bridge: George Harrison],"[Intro: Paul McCartney, John Lennon and George Harrison]",[Verse 1: Paul McCartney (& John Lennon and George Harrison)],[Chorus: Paul McCartney (& John Lennon and George Harrison)],[Verse 2: Paul McCartney],[Chorus: Paul McCartney (& John Lennon and George Harrison)]2,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: John Lennon <br/>with Paul McCartney<br/>],[Verse 3: John Lennon with Paul McCartney],[Scatting],"[Verse 3: John Lennon, Paul McCartney & <br/>Ringo Starr<br/>]"
10,,,A Taste of Honey,,,,,"<br/>I dream of your first kiss, and then<br/>I feel upon my lips again<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>",,"<br/>Yours was the kiss that awoke my heart<br/>There lingers still, though we're far apart<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>",,"<br/>I will return, yes I will return<br/>I'll come back for the honey and you<br/>",,,,,<br/>A taste of honey!<br/>Tasting much sweeter than wine<br/>,,,"<br/>I will return, yes I will return<br/>I'll come back (He'll come back) for the honey (for the honey) and you",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,All You Need Is Love,,,,,"<br/>There's nothing you can do that can't be done<br/>Nothing you can sing that can't be sung<br/>Nothing you can say, but you can learn how to play the game<br/>It's easy<br/>","<br/>All you need is love<br/>All you need is love<br/>All you need is love, love<br/>Love is all you need<br/>Love, love, love<br/>Love, love, love<br/>Love, love, love","<br/>Nothing you can make that can't be made<br/>No one you can save that can't be saved<br/>Nothing you can do, but you can learn how to be you in time<br/>It's easy<br/>",,,,,,,"<br/>Love, love, love<br/>Love, love, love<br/>Love, love, love<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,Any Time at All,,,,,"<br/>If you need somebody to love<br/>Just look into my eyes<br/>I'll be there to make you feel right<br/>If you're feeling sorry and sad<br/>I'd really sympathize<br/>Don't you be sad, just call me tonight<br/>","<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there<br/>","<br/>If the sun has faded away<br/>I'll try to make it shine<br/>There's nothing I won't do<br/>When you need a shoulder to cry on<br/>I hope it will be mine<br/>Call me tonight, and I'll come to you<br/>","<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there<br/>",,,,"<br/>Any time at all, any time at all<br/>Any time at all, all you've gotta do is call and I'll be there",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,All My Loving,,,,,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,,<br/>I'll pretend that I'm kissing<br/>The lips I am missing<br/>And hope that my dreams will come true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,,,,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you,,,,,,,"<br/>All my loving I will send to you<br/>All my loving, darling I'll be true<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,Ask Me Why,,,,,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue<br/>","<br/>Ask me why, I'll say I love you<br/>And I'm always thinking of you<br/>","<br/>Now you're mine, my happiness still makes me cry<br/>And in time, you'll understand the reason why<br/>If I cry it's not because I'm sad<br/>But you're the only love that I've ever had<br/>",,<br/>I can't believe it's happened to me<br/>I can't conceive of any more—misery<br/>,,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,Bad to Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,Act Naturally,,,,,<br/>They're gonna put me in the movies<br/>They're gonna make a big star out of me<br/>We'll make a film about a man that's sad and lonely<br/>And all I gotta do is act naturally<br/>,"<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well<br/>",<br/>Well I hope you'll come and see me in the movies<br/>Then I know that you will plainly see<br/>The biggest fool that ever hit the big time<br/>And all I gotta do is act naturally<br/>,"<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well",,,<br/>We'll make the scene about a man that's sad and lonely<br/>And begging down upon his bended knee<br/>I'll play the part and I won't need rehearsing<br/>All I have to do is act naturally<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,Anna (Go to Him),,,,,"<br/>Anna<br/>You come and ask me, girl<br/>To set you free, girl<br/>You say he loves you more than me, so I will set you free<br/>Go with him (Anna)<br/>Go with him (Anna)<br/>","<br/>All of my life<br/>I've been searching for a girl<br/>To love me like I love you<br/>Oh, now, but every girl I've ever had<br/>Breaks my heart and leaves me sad<br/>What am I, what am I supposed to do?<br/>Oh-oh-oh-oh-oh-oh<br/>","<br/>Anna<br/>Girl, before you go now<br/>I want you to know, now<br/>That I still love you so, but if he loves you more<br/>Go with him<br/>",,,,"<br/>Anna<br/>Just one more thing, girl<br/>You give back your ring to me, and I will set you free<br/>Go with him",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Bad Boy,,,,,,,,,"<br/>Ooh!<br/>Gonna tell your mama you better do what she said<br/>Get to the barber shop and get that hair cut off your head<br/>Shoot the canary and you fed it to the neighbor's cat<br/>You gave the cocker spaniel a bath in mother's laundromat<br/>Well, in mama's head it's got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself",,,,,"<br/>A bad little kid moved into my neighborhood<br/>He won't do nothing right, just sitting down and looks so good<br/>He don't want to go to school and learn to read and write<br/>Just sits around the house and plays the rock and roll music all night<br/>Well, he put some tacks on teacher's chair<br/>Puts chewing gum in little girl's hair<br/>Now, junior, behave yourself<br/>Buy every rock and roll book on the magazine stand<br/>Every dime that he gets (oh) is lost to the jukebox man<br/>Well he worries his teacher till at night she's ready to poop<br/>From rocking and a-rolling to spinning in a hula hoop<br/>Well this rock and roll has got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself<br/>Ooh!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,Because I Know You Love Me So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,Blackbird,,,,,<br/>Blackbird singing in the dead of night<br/>Take these broken wings and learn to fly<br/>All your life<br/>You were only waiting for this moment to arise<br/>,"<br/>Blackbird fly, blackbird fly<br/>Into the light of the dark black night<br/>",<br/>Blackbird singing in the dead of night<br/>Take these sunken eyes and learn to see<br/>All your life<br/>You were only waiting for this moment to be free<br/>,"<br/>Blackbird fly, blackbird fly<br/>Into the light of the dark black night<br/>",,,<br/>Blackbird singing in the dead of night<br/>Take these broken wings and learn to fly<br/>All your life<br/>You were only waiting for this moment to arise<br/>,,,,,,,,<br/>,<br/>You were only waiting for this moment to arise<br/>You were only waiting for this moment to arise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,A Shot Of Rhythm And Blues,,,,,,,,,,,,,,,,,,<br/>You get a shot of rhythm and blues<br/>With just a little rock and roll on the side<br/>Just for good measure<br/>,,,"<br/>Well, if your hands start a-clapping<br/>And your fingers start a-popping<br/>And your feet start a-moving around<br/>And if you start to swing and sway<br/>When the band starts to play<br/>A real cool way out sound<br/>And if you get to can't help it<br/>And you can't sit down<br/>You feel like you gotta move a round<br/>","<br/>Get a pair of dancing shoes<br/>Well, with your lover by your side<br/>Don't you know you're going to have a lot of pleasure?<br/>","<br/>Don't you worry about a thing if you start to dance and sing<br/>And chills coming up on you<br/>And if the rhythm finally gets you and the beat gets you too<br/>Well, here's something for you to do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,Ain’t She Sweet (Anthology 1 version),,,,,<br/>Oh ain't she sweet?<br/>Well see her walking down that street<br/>Yes I ask you very confidentially<br/>Ain't she sweet?<br/>,,"<br/>Oh ain't she nice?<br/>Well look her over once or twice<br/>Yes I ask you, very confidentially<br/>Ain't she nice?<br/>",,,,"<br/>Oh I repeat<br/>Well don't you think that's kind of neat?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?<br/>",,,,,,,"<br/>Just cast an eye<br/>In her direction<br/>Oh me, oh my<br/>Ain't that perfection?<br/>",,,,,,"<br/>Oh ain't she sweet?<br/>Well see her walking down that street?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,<br/>,And Your Bird Can Sing,,,,,<br/>You tell me that you've got everything you want<br/>And your bird can sing<br/>But you don't get me<br/>You don't get me<br/>,,<br/>You say you've seen seven wonders<br/>And your bird is green<br/>But you can't see me<br/>You can't see me<br/>,,,,,,,,,,,,,,,,,,"<br/>When your prized possessions<br/>Start to weigh you down<br/>Look in my direction<br/>I'll be 'round, I'll be 'round<br/>","<br/>When your bird is broken<br/>Will it bring you down?<br/>You may be awoken<br/>I'll be 'round, I'll be 'round",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,Beautiful Dreamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,Birthday,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>They say it's your birthday<br/>Well, it's my birthday too, yeah<br/>They say it's your birthday<br/>We're gonna have a good time<br/>I'm glad it's your birthday<br/>Happy birthday to you<br/>","<br/>One, two, three, four, five, six, seven, eight!<br/>","<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>","<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Dance, yeah, woo, come on (Come on)<br/>",<br/>,"<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Woo, dance! Dance!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,Because,,,,,"<br/>Because the world is round, it turns me on<br/>Because the world is round<br/>Ahh<br/>",,"<br/>Because the wind is high, it blows my mind<br/>Because the wind is high<br/>Ahh<br/>",,"<br/>Love is old, love is new<br/>Love is all, love is you<br/>",,"<br/>Because the sky is blue, it makes me cry<br/>Because the sky is blue<br/>",,,<br/>Ahh<br/>,,,,,,"<br/>Ah-ah-ah-ah-ah<br/>Ah, ahh-ah, ahh-ah-ah<br/>Ah-ah-ah-ah-ah-ah<br/>Ah, ahh, ahh, ahh<br/>Ahh<br/>Ah-ah-ah-ah-ah<br/>Ahh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,Boys,,,,,"<br/>I been told when a boy kiss a girl<br/>Take a trip around the world<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop)<br/>Yeah, she say you do <br/>(Bop shuop)<br/>","<br/>Well, I talk about boys <br/>(Yeah, yeah, boys)<br/>Don't ya know I mean boys? <br/>(Yeah, yeah, boys)<br/>Well, I talk about boys, now <br/>(Yeah, yeah, boys)<br/>Aaah, boys <br/>(Yeah, yeah, boys)<br/>Well, I talk about boys, now <br/>(Yeah, yeah, boys)<br/>What a bundle of joy! <br/>(Yeah, yeah, boys)<br/>Alright, George!<br/>","<br/>My girl says when I kiss her lips<br/>Gets a thrill through her fingertips<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop)<br/>Yeah, she say you do <br/>(Bop shuop)<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,Carol,,,,,"<br/>Well come into my machine<br/>So we can move on out<br/>I know a jumping little joint<br/>Where we can jump and shout<br/>It's not too far back on the highway<br/>Not too long a ride<br/>Well you take your car along<br/>And you park it outside<br/>A little cutie takes your hat<br/>And you can thank her, ma'am<br/>Well every time you're going to drive<br/>You find the joint is jammed<br/>","<br/>Oh Carol, don't let him<br/>Steal your heart away<br/>Well I've got to learn to dance<br/>If it takes me all night and day<br/>","<br/>Well if you want to hear some music<br/>Like the boys all play<br/>Hold tight, tap your foot<br/>Don't let it carry you away<br/>Don't let the heat overcome you<br/>Because they play so loud<br/>While the music will treat you<br/>When they get a crowd<br/>Well you can dance<br/>I know you will, you thought<br/>I got my eyes on you baby<br/>Because you dance so good",<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,Baby’s in Black,,,,,"<br/>She thinks of him and so she dresses in black<br/>And though he'll never come back,<br/> she's dressed in black<br/>","<br/>Oh dear, what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?<br/>","<br/>I think of her, but she thinks only of him<br/>And though it's only a whim, she thinks of him<br/>","<br/>Oh dear, what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?<br/>",<br/>Oh how long will it take<br/>Till she sees the mistake she has made?<br/>,,,"<br/>Dear what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,Carry That Weight,,,,,,"<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>",,"<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>",,,,,,,,,,,,,<br/>I never give you my pillow<br/>I only send you my invitations<br/>And in the middle of the celebrations<br/>I break down<br/>,,,,,,,,,,,,,<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,Chains,,,,,"<br/>I wanna tell you, pretty baby<br/>I think you're fine<br/>I'd like to love you<br/>But, darlin', I'm imprisoned by these<br/>","<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, these chains of love got a hold on me, yeah<br/>Chains, well I can't break away from these chains<br/>Can't run around, 'cause I'm not free<br/>Whoa, oh, these chains of love won't let me be, yeah<br/>",<br/>Please believe me when I tell you<br/>Your lips are sweet<br/>I'd like to kiss them<br/>But I can't break away from all of these<br/>,"<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, oh, these chains of love got a hold on me, yeah<br/>",,,,"<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, oh, these chains of love got a hold on me, yeah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
