,title,date,album,lyrics
10,In My Life,"December 3, 1965",Rubber Soul (UK),"

[Verse 1: John Lennon & Paul McCartney]
There are places I'll remember
All my life, though some have changed
Some forever, not for better
Some have gone and some remain

[Chorus 1: John Lennon & Paul McCartney]
All these places had their moments
With lovers and friends, I still can recall
Some are dead and some are living
In my life, I've loved them all

[Verse 2: John Lennon & Paul McCartney]
But of all these friends and lovers
There is no one compares with you
And these memories lose their meaning
When I think of love as something new

[Chorus 2: John Lennon with Paul McCartney]
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

[Piano Solo]

[Chorus 2: John Lennon & Paul McCartney]
Though I know I'll never lose affection
For people and things that went before
I know I'll often stop and think about them
In my life, I love you more

[Outro: John Lennon]
In my life, I love you more

"
11,While My Guitar Gently Weeps,"November 22, 1968",George Martin,"

[Verse 1]
I look at you all, see the love there that's sleeping
While my guitar gently weeps
I look at the floor, and I see it needs sweeping
Still my guitar gently weeps

[Bridge 1]
I don't know why nobody told you
How to unfold your love
I don't know how someone controlled you
They bought and sold you

[Verse 2]
I look at the world, and I notice it's turning
While my guitar gently weeps
With every mistake, we must surely be learning
Still my guitar gently weeps

[Guitar Solo]

[Bridge 2]
I don't know how you were diverted
You were perverted too
I don't know how you were inverted
No one alerted you

[Verse 3]
I look at you all, see the love there that's sleeping
While my guitar gently weeps
(I look) Look at you all
Still my guitar gently weeps

[Outro]
Oh, oh
Oh, oh, oh, oh, oh, oh, oh
Oh, oh, oh, oh

Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, yeah, oh, ooh

"
12,Across the Universe,"December 12, 1969",Let It Be,"

[Verse 1]
Words are flowing out like endless rain into a paper cup
They slither wildly as they slip away across the universe
Pools of sorrow, waves of joy are drifting through my opened mind
Possessing and caressing me

[Chorus]
Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

[Verse 2]
Images of broken light which dance before me like a million eyes
They call me on and on across the universe
Thoughts meander like a restless wind inside a letter box
They tumble blindly as they make their way across the universe

[Chorus]
Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

[Verse 3]
Sounds of laughter, shades of life are ringing through my open ears
Inciting and inviting me
Limitless undying love which shines around me like a million suns
It calls me on and on across the universe

[Chorus]
Jai Guru Deva, Om
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world
Nothing's gonna change my world

[Outro]
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva
Jai Guru Deva

"
13,Lucy in the Sky with Diamonds,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Verse 1]
Picture yourself in a boat on a river
With tangerine trees and marmalade skies
Somebody calls you, you answer quite slowly
A girl with kaleidoscope eyes

[Pre-Chorus 1]
Cellophane flowers of yellow and green
Towering over your head
Look for the girl with the sun in her eyes
And she's gone

[Chorus]
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Ahh

[Verse 2]
Follow her down to a bridge by a fountain
Where rocking horse people eat marshmallow pies
Everyone smiles as you drift past the flowers
That grow so incredibly high

[Pre-Chorus 2]
Newspaper taxis appear on the shore
Waiting to take you away
Climb in the back with your head in the clouds
And you're gone

[Chorus]
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Ahh

[Verse 3]
Picture yourself on a train in a station
With plasticine porters with looking glass ties
Suddenly, someone is there at the turnstile
The girl with kaleidoscope eyes

[Chorus]
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Ahh

[Chorus]
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Ahh

[Chorus]
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Lucy in the sky with diamonds
Ahh

"
14,Strawberry Fields Forever,"February 13, 1967",Magical Mystery Tour (US),"

[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real, and nothing to get hung about
Strawberry Fields forever

[Verse 1]
Living is easy with eyes closed
Misunderstanding all you see
It's getting hard to be someone, but it all works out
It doesn't matter much to me

[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real, and nothing to get hung about
Strawberry Fields forever

[Verse 2]
No one I think is in my tree
I mean it must be high or low
That is you can't, you know, tune in, but it's all right
That is I think it's not too bad

[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real, and nothing to get hung about
Strawberry Fields forever

[Verse 3]
Always, no, sometimes think it's me
But you know I know when it's a dream
I think I know, I mean, er, yes, but it's all wrong
That is I think I disagree

[Chorus]
Let me take you down, 'cause I'm going to
Strawberry Fields
Nothing is real, and nothing to get hung about
Strawberry Fields forever
Strawberry Fields forever
Strawberry Fields forever

[Outro]
Cranberry sauce

"
15,Michelle,"December 3, 1965",Rubber Soul (UK),"

[Verse 1]
Michelle, ma belle
These are words that go together well
My Michelle

[Verse 2]
Michelle, ma belle
Sont des mots qui vont très bien ensemble
Très bien ensemble

[Bridge 1]
I love you, I love you, I love you
That's all I want to say
Until I find a way
I will say the only words I know that you'll understand

[Verse 3]
Michelle, ma belle
Sont des mots qui vont très bien ensemble
Très bien ensemble

[Bridge 2]
I need to, I need to, I need to
I need to make you see
Oh, what you mean to me
Until I do, I'm hoping you will know what I mean
I love you

[Instrumental Verse: Guitar solo]

[Bridge 3]
I want you, I want you, I want you
I think you know by now
I'll get to you somehow
Until I do I'm telling you so you'll understand

[Verse 4]
Michelle, ma belle
Sont des mots qui vont très bien ensemble
Très bien ensemble

[Outro]
And I will say the only words I know that you'll understand
My Michelle

"
16,With a Little Help from My Friends,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Segue: John Lennon, Paul McCartney, George Harrison, and Ringo Starr]
Billy Shears!

[Verse 1: Ringo Starr]
What would you think if I sang out of tune?
Would you stand up and walk out on me?
Lend me your ears and I'll sing you a song
And I'll try not to sing out of key

[Chorus: Ringo Starr & Lennon/McCartney]
Oh, I get by with a little help from my friends
Mm, I get high with a little help from my friends
Mm, gonna try with a little help from my friends

[Verse 2: Ringo Starr & Lennon/McCartney/Harrison]
What do I do when my love is away?
Does it worry you to be alone?
How do I feel by the end of the day?
Are you sad because you're on your own?

[Chorus: Ringo Starr & Lennon/McCartney]
No, I get by with a little help from my friends
Mm, get high with a little help from my friends
Mm, I'm gonna try with a little help from my friends

[Bridge: Ringo Starr & Lennon/McCartney/Harrison]
Do you need anybody?
I need somebody to love
Could it be anybody?
I want somebody to love

[Verse 3: Ringo Starr & Lennon/McCartney/Harrison]
Would you believe in a love at first sight?
Yes, I'm certain that it happens all the time
What do you see when you turn out the light?
I can't tell you, but I know it's mine

[Chorus: Ringo Starr & Lennon/McCartney]
Oh, I get by with a little help from my friends
Mm, get high with a little help from my friends
Oh, I'm gonna try with a little help from my friends

[Bridge: Ringo Starr & Lennon/McCartney/Harrison]
Do you need anybody?
I just need someone to love
Could it be anybody?
I want somebody to love

[Outro: Ringo Starr  & Lennon/McCartney/Harrison]
Oh, I get by with a little help from my friends
Mm, gonna try with a little help from my friends
Oh, I get high with a little help from my friends
Yes, I get by with a little help from my friends
With a little help from my friends

"
17,Help!,"June 19, 1965",Help! (UK),"

[Intro]
(Help!) I need somebody
(Help!) Not just anybody
(Help!) You know I need someone
(Help!)

[Verse 1]
When I was younger so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors

[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

[Verse 2]
And now my life has changed in oh so many ways
My independence seems to vanish in the haze
But every now and then I feel so insecure
I know that I just need you like I've never done before

[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?

[Verse 3 ]
When I was younger, so much younger than today
I never needed anybody's help in any way
But now these days are gone, I'm not so self assured
Now I find I've changed my mind and opened up the doors

[Chorus]
Help me if you can, I'm feeling down
And I do appreciate you being 'round
Help me get my feet back on the ground
Won't you please, please help me?
Help me? Help me? Ooh

"
18,"Ob-La-Di, Ob-La-Da","November 22, 1968",The Beatles (The White Album),"

[Verse 1]
Desmond has a barrow in the market place
Molly is the singer in a band
Desmond says to Molly, ""Girl, I like your face""
And Molly says this as she takes him by the hand

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on

[Verse 2]
Desmond takes a trolley to the jeweler's store (Chu chu chu)
Buys a twenty carat golden ring (Ring)
Takes it back to Molly waiting at the door
And as he gives it to her, she begins to sing (Sing)

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Yeah

[Bridge]
In a couple of years, they have built a home sweet home
With a couple of kids running in the yard
Of Desmond and Molly Jones (Ha, ha, ha, ha, ha, ha)

[Verse 3]
Happy ever after in the market place
Desmond lets the children lend a hand (Arm, leg)
Molly stays at home and does her pretty face
And in the evening, she still sings it with the band
Yes!

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on (Heh-heh)
Yeah, ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on

[Bridge]
In a couple of years, they have built a home sweet home
With a couple of kids running in the yard
Of Desmond and Molly Jones (Ha, ha, ha, ha, ha)
Yeah!

[Verse 4]
Happy ever after in the market place
Molly lets the children lend a hand (Foot)
Desmond stays at home and does his pretty face
And in the evening, she's a singer with the band (Yeah)

[Chorus]
Ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on
Yeah, ob-la-di, ob-la-da, life goes on, brah
La-la, how their life goes on

[Outro]
And if you want some fun
Take Ob-la-di-bla-da
Ahh, thank you

"
19,Yellow Submarine,"August 5, 1966",Revolver (UK),"

[Verse 1: Ringo Starr]
In the town where I was born
Lived a man who sailed to sea
And he told us of his life
In the land of submarines

[Verse 2: Ringo Starr]
So we sailed on to the sun
Till we found the sea of green
And we lived beneath the waves
In our yellow submarine

[Chorus: Ringo Starr, Paul McCartney, John Lennon & George Harrison]
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

[Verse 3: Ringo Starr]
And our friends are all aboard
Many more of them live next door
And the band begins to play

[Chorus: Ringo Starr, Paul McCartney, John Lennon & George Harrison]
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

[Bridge: Paul McCartney & John Lennon]
Full steam ahead, Mister Boatswain, full steam ahead
Full steam ahead it is, Sergeant
Cut the cable! Drop the cable!
Aye-aye, sir, aye-aye
Captain! Captain!

[Verse 4: Ringo Starr & Paul McCartney]
As we live a life of ease
Every one of us (Every one of us) has all we need (Has all we need)
Sky of blue (Sky of blue) and sea of green (Sea of green)
In our yellow (In our yellow) submarine (Submarine, ha-ha!)

[Chorus: Ringo Starr, Paul McCartney, John Lennon & George Harrison]
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine
We all live in a yellow submarine
Yellow submarine, yellow submarine

"
20,I Want to Hold Your Hand,"November 29, 1963",Meet the Beatles!,"

[Verse 1: Paul McCartney & John Lennon]
Oh, yeah, I'll tell you something
I think you'll understand
When I'll say that something
I wanna hold your hand

[Chorus: Paul McCartney & John Lennon]
I wanna hold your hand
I wanna hold your hand

[Verse 2: Paul McCartney & John Lennon]
Oh, please, say to me
You'll let me be your man
And please, say to me
You'll let me hold your hand

[Chorus: Paul McCartney & John Lennon]
Now let me hold your hand
I wanna hold your hand

[Post-Chorus: Paul McCartney & John Lennon]
And when I touch you
I feel happy inside
It's such a feeling that, my love
I can't hide
I can't hide
I can't hide

[Verse 3: Paul McCartney & John Lennon]
Yeah, you
Got that something
I think you'll understand
When I'll
Say that something
I want to hold your hand

[Chorus: Paul McCartney & John Lennon]
I wanna hold your hand
I wanna hold your hand

[Post-Chorus: Paul McCartney & John Lennon]
And when I touch you
I feel happy inside
It's such a feeling that, my love
I can't hide
I can't hide
I can't hide

[Verse 4: Paul McCartney & John Lennon]
Yeah, you
Got that something
I think you'll understand
When I'll
Feel that something
I wanna hold your hand

[Chorus: Paul McCartney & John Lennon]
I wanna hold your hand
I wanna hold your hand
I wanna hold your hand

"
21,Norwegian Wood (This Bird Has Flown),"December 3, 1965",Rubber Soul (UK),"

[Verse 1: John Lennon]
I once had a girl
Or should I say, she once had me?
She showed me her room
""Isn't it good, Norwegian wood?""

[Bridge 1: John Lennon & Paul McCartney]
She asked me to stay and she told me to sit anywhere
So I looked around and I noticed there wasn't a chair

[Verse 2: John Lennon]
I sat on the rug
Biding my time, drinking her wine
We talked until two
And then she said, ""It's time for bed""

[Bridge 2: John Lennon & Paul McCartney]
She told me she worked in the morning and started to laugh
I told her I didn't and crawled off to sleep in the bath

[Verse 3: John Lennon]
And when I awoke
I was alone, this bird had flown
So I lit a fire
Isn't it good, Norwegian wood?

"
22,Don’t Let Me Down,"April 11, 1969",Hey Jude,"

[Chorus: John Lennon & Paul McCartney]
Don't let me down, don't let me down
Don't let me down, don't let me down

[Verse 1: John Lennon & Paul McCartney]
Nobody ever loved me like she does
Oh, she does
Yeah, she does
And if somebody loved me like she do me
Oh, she do me
Yes, she does

[Chorus: John Lennon & Paul McCartney]
Don't let me down, don't let me down
Don't let me down, don't let me down

[Bridge: John Lennon & Paul McCartney & George Harrison]
I'm in love for the first time
Don't you know it's gonna last
It's a love that lasts forever
It's a love that has no past (Seeking past)

[Chorus: John Lennon & Paul McCartney]
Don't let me down, don't let me down
Don't let me down, don't let me down

[Verse 2: John Lennon]
And from the first time that she really done me
Oh, she done me
She done me good
I guess nobody ever really done me
Oh, she done me
She done me good

[Chorus: John Lennon & Paul McCartney]
Don't let me down, don't let me down
Don't let me down, don't let me down

[Outro: John Lennon]
Don't let me down
Don't let me down, don't let me let down
Can you dig it? Don't let me down

"
23,When I’m Sixty-Four,"May 26, 1967",Sgt. Pepper’s Lonely Hearts Club Band,"

[Intro]

[Verse 1]
When I get older losing my hair
Many years from now
Will you still be sending me a valentine
Birthday greetings, bottle of wine?
If I'd been out till quarter to three
Would you lock the door
Will you still need me, will you still feed me
When I'm sixty-four?

[Bridge 1]
You'll be older too
And if you say the word
I could stay with you

[Verse 2]
I could be handy mending a fuse
When your lights have gone
You can knit a sweater by the fireside
Sunday mornings go for a ride
Doing the garden, digging the weeds
Who could ask for more?
Will you still need me, will you still feed me
When I'm sixty-four?

[Bridge 2]
Every summer we can rent a cottage
In the Isle of Wight, if it's not too dear
We shall scrimp and save
Grandchildren on your knee
Vera, Chuck, and Dave

[Verse 3]
Send me a postcard, drop me a line
Stating point of view
Indicate precisely what you mean to say
Yours sincerely, wasting away
Give me your answer, fill in a form
Mine for evermore
Will you still need me, will you still feed me
When I'm sixty-four?

[Outro]
Whoo!

"
