,[Verse 1: John Lennon],[Verse 2: John Lennon],[Refrain: John Lennon],[Bridge: Paul McCartney],title,[Verse 1],[Verse 2],[Bridge],[Verse 2]2,[Chorus],[Chorus]2,[Verse 3],[Chorus]3,[x2],[Intro],[Bridge 1],[Instrumental],[Bridge 2],[Pre-Chorus],[Verse 1: John Lennon]2,[Chorus 1],[Paul McCartney],[Bridge]2,[Verse],[Chorus 2],[Chorus 3],[Verse 4],[Verse 1: Paul McCartney and John Lennon],[Interlude: Paul McCartney],"[Bridge 1: John Lennon, <br/>& McCartney<br/>, <br/>& McCartney and George Harrison<br/>]",[Bridge 2: Paul McCartney],[Instrumental Verse],[Bridge 2: Paul McCartney]2,[Instrumental Break],[Outro],[Guitar Solo],[Instrumental Break 0:23-0:44],[Transition],[Engineer],[Verse 1]2,[Interlude],[Verse 1: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon],[Verse 2: Paul McCartney & John Lennon],[Chorus: Paul McCartney & John Lennon]2,[Guitar Solo: John Lennon],[Spoken],[Chorus: John Lennon & Paul McCartney],[Verse 1: John Lennon & Paul McCartney],[Chorus: John Lennon & Paul McCartney]2,[Bridge: John Lennon & Paul McCartney & George Harrison],[Chorus: John Lennon & Paul McCartney]3,"[Intro: Paul McCartney, John Lennon, George Harrison]",[Verse 1: Paul McCartney],[Chorus: Paul McCartney],[Verse 2: Paul McCartney]
10,,,,,Act Naturally,<br/>They're gonna put me in the movies<br/>They're gonna make a big star out of me<br/>We'll make a film about a man that's sad and lonely<br/>And all I gotta do is act naturally<br/>,<br/>Well I hope you'll come and see me in the movies<br/>Then I know that you will plainly see<br/>The biggest fool that ever hit the big time<br/>And all I gotta do is act naturally<br/>,,,"<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well<br/>","<br/>Well I'll bet you I'm gonna be a big star<br/>Might win an Oscar, you can never tell<br/>The movies gonna make me a big star<br/>'Cause I can play the part so well",<br/>We'll make the scene about a man that's sad and lonely<br/>And begging down upon his bended knee<br/>I'll play the part and I won't need rehearsing<br/>All I have to do is act naturally<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,All My Loving,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,<br/>I'll pretend that I'm kissing<br/>The lips I am missing<br/>And hope that my dreams will come true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you<br/>,,,,,<br/>Close your eyes and I'll kiss you<br/>Tomorrow I'll miss you<br/>Remember I'll always be true<br/>And then while I'm away<br/>I'll write home everyday<br/>And I'll send all my loving to you,,,,,,,,,"<br/>All my loving I will send to you<br/>All my loving, darling I'll be true<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,And I Love Her,<br/>I give her all my love<br/>That's all I do<br/>And if you saw my love<br/>You'd love her too<br/>I love her<br/>,<br/>She gives me everything<br/>And tenderly<br/>The kiss my lover brings<br/>She brings to me<br/>And I love her<br/>,<br/>A love like ours<br/>Could never die<br/>As long as I<br/>Have you near me<br/>,,,,<br/>Bright are the stars that shine<br/>Dark is the sky<br/>I know this love of mine<br/>Will never die<br/>And I love her,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,Ask Me Why,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue<br/>","<br/>Now you're mine, my happiness still makes me cry<br/>And in time, you'll understand the reason why<br/>If I cry it's not because I'm sad<br/>But you're the only love that I've ever had<br/>",<br/>I can't believe it's happened to me<br/>I can't conceive of any more—misery<br/>,,"<br/>Ask me why, I'll say I love you<br/>And I'm always thinking of you<br/>",,"<br/>I love you, 'cause you tell me things I want to know<br/>And it's true that it really only goes to show<br/>That I know that I—I, I, I<br/>Should never, never, never be blue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,12-Bar Original,,,,,,,,,,,,,,,,,"<br/>One, two, three, four!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,A Taste of Honey,"<br/>I dream of your first kiss, and then<br/>I feel upon my lips again<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>","<br/>Yours was the kiss that awoke my heart<br/>There lingers still, though we're far apart<br/>A taste of honey (A taste of honey)<br/>Tasting much sweeter than wine<br/>","<br/>I will return, yes I will return<br/>I'll come back for the honey and you<br/>",,,,,,,<br/>A taste of honey!<br/>Tasting much sweeter than wine<br/>,,,,,,,,"<br/>I will return, yes I will return<br/>I'll come back (He'll come back) for the honey (for the honey) and you",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,Another Girl,"<br/>You're making me say that I've got nobody but you<br/>But as from today, well, I've got somebody that's new<br/>I ain't no fool and I don't take what I don't want<br/>","<br/>She's sweeter than all the girls and I met quite a few<br/>Nobody in all the world can do what she can do<br/>And so I'm telling you, ""This time you'd better stop""<br/>",<br/>Who will love me till the end<br/>Through thick and thin<br/>She will always be my friend,,<br/>For I have got another girl<br/>Another girl<br/>,<br/>For I have got another girl<br/>Another girl<br/>,,<br/>For I have got another girl<br/>Another girl<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,Bad Boy,,,"<br/>Ooh!<br/>Gonna tell your mama you better do what she said<br/>Get to the barber shop and get that hair cut off your head<br/>Shoot the canary and you fed it to the neighbor's cat<br/>You gave the cocker spaniel a bath in mother's laundromat<br/>Well, in mama's head it's got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself",,,,,,,"<br/>A bad little kid moved into my neighborhood<br/>He won't do nothing right, just sitting down and looks so good<br/>He don't want to go to school and learn to read and write<br/>Just sits around the house and plays the rock and roll music all night<br/>Well, he put some tacks on teacher's chair<br/>Puts chewing gum in little girl's hair<br/>Now, junior, behave yourself<br/>Buy every rock and roll book on the magazine stand<br/>Every dime that he gets (oh) is lost to the jukebox man<br/>Well he worries his teacher till at night she's ready to poop<br/>From rocking and a-rolling to spinning in a hula hoop<br/>Well this rock and roll has got to stop<br/>Junior's head is hard as rock<br/>Now, junior, behave yourself<br/>Ooh!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,Beautiful Dreamer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,A Shot Of Rhythm And Blues,,,,,,,,,,,,,,,,<br/>You get a shot of rhythm and blues<br/>With just a little rock and roll on the side<br/>Just for good measure<br/>,,,"<br/>Well, if your hands start a-clapping<br/>And your fingers start a-popping<br/>And your feet start a-moving around<br/>And if you start to swing and sway<br/>When the band starts to play<br/>A real cool way out sound<br/>And if you get to can't help it<br/>And you can't sit down<br/>You feel like you gotta move a round<br/>","<br/>Get a pair of dancing shoes<br/>Well, with your lover by your side<br/>Don't you know you're going to have a lot of pleasure?<br/>","<br/>Don't you worry about a thing if you start to dance and sing<br/>And chills coming up on you<br/>And if the rhythm finally gets you and the beat gets you too<br/>Well, here's something for you to do",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,Ain’t She Sweet (Anthology 1 version),<br/>Oh ain't she sweet?<br/>Well see her walking down that street<br/>Yes I ask you very confidentially<br/>Ain't she sweet?<br/>,"<br/>Oh ain't she nice?<br/>Well look her over once or twice<br/>Yes I ask you, very confidentially<br/>Ain't she nice?<br/>",,,,,"<br/>Oh I repeat<br/>Well don't you think that's kind of neat?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?<br/>",,,,,,,,,"<br/>Just cast an eye<br/>In her direction<br/>Oh me, oh my<br/>Ain't that perfection?<br/>",,,,,,"<br/>Oh ain't she sweet?<br/>Well see her walking down that street?<br/>Yes I ask you, very confidentially<br/>Ain't she sweet?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,Birthday,,,,,,,,,,,,,,,,,,,,,,,"<br/>They say it's your birthday<br/>Well, it's my birthday too, yeah<br/>They say it's your birthday<br/>We're gonna have a good time<br/>I'm glad it's your birthday<br/>Happy birthday to you<br/>","<br/>One, two, three, four, five, six, seven, eight!<br/>","<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>Yes, we're going to a party, party<br/>","<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Dance, yeah, woo, come on (Come on)<br/>",<br/>,"<br/>I would like you to dance (Birthday)<br/>Take a cha-cha-cha-chance (Birthday)<br/>I would like you to dance (Birthday)<br/>Woo, dance! Dance!",,,,,,,,,,,,,,,,,,,,,,,
22,,,,,Because I Know You Love Me So,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,Blackbird,<br/>Blackbird singing in the dead of night<br/>Take these broken wings and learn to fly<br/>All your life<br/>You were only waiting for this moment to arise<br/>,<br/>Blackbird singing in the dead of night<br/>Take these sunken eyes and learn to see<br/>All your life<br/>You were only waiting for this moment to be free<br/>,,,"<br/>Blackbird fly, blackbird fly<br/>Into the light of the dark black night<br/>","<br/>Blackbird fly, blackbird fly<br/>Into the light of the dark black night<br/>",<br/>Blackbird singing in the dead of night<br/>Take these broken wings and learn to fly<br/>All your life<br/>You were only waiting for this moment to arise<br/>,,,,,,,,,,,,,,,,,,,,,,<br/>,<br/>You were only waiting for this moment to arise<br/>You were only waiting for this moment to arise,,,,,,,,,,,,,,,,,,,,,
24,,,,,Boys,"<br/>I been told when a boy kiss a girl<br/>Take a trip around the world<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop)<br/>Yeah, she say you do <br/>(Bop shuop)<br/>","<br/>My girl says when I kiss her lips<br/>Gets a thrill through her fingertips<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop, m'bop bop shuop)<br/>Hey, hey <br/>(Bop shuop)<br/>Yeah, she say you do <br/>(Bop shuop)<br/>",,,"<br/>Well, I talk about boys <br/>(Yeah, yeah, boys)<br/>Don't ya know I mean boys? <br/>(Yeah, yeah, boys)<br/>Well, I talk about boys, now <br/>(Yeah, yeah, boys)<br/>Aaah, boys <br/>(Yeah, yeah, boys)<br/>Well, I talk about boys, now <br/>(Yeah, yeah, boys)<br/>What a bundle of joy! <br/>(Yeah, yeah, boys)<br/>Alright, George!<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,Carry That Weight,,,,,"<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>","<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>Boy, you're gonna carry that weight<br/>Carry that weight a long time<br/>",,,,,,,,,,,,,<br/>I never give you my pillow<br/>I only send you my invitations<br/>And in the middle of the celebrations<br/>I break down<br/>,,,,,,,,,,,,,<br/>,,,,,,,,,,,,,,,,,,,
26,,,,,Chains,"<br/>I wanna tell you, pretty baby<br/>I think you're fine<br/>I'd like to love you<br/>But, darlin', I'm imprisoned by these<br/>",<br/>Please believe me when I tell you<br/>Your lips are sweet<br/>I'd like to kiss them<br/>But I can't break away from all of these<br/>,,,"<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, these chains of love got a hold on me, yeah<br/>Chains, well I can't break away from these chains<br/>Can't run around, 'cause I'm not free<br/>Whoa, oh, these chains of love won't let me be, yeah<br/>","<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, oh, these chains of love got a hold on me, yeah<br/>",,"<br/>Chains, my baby's got me locked up in chains<br/>And they ain't the kind that you can see<br/>Whoa, oh, these chains of love got a hold on me, yeah",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,Baby’s in Black,"<br/>She thinks of him and so she dresses in black<br/>And though he'll never come back,<br/> she's dressed in black<br/>","<br/>I think of her, but she thinks only of him<br/>And though it's only a whim, she thinks of him<br/>",<br/>Oh how long will it take<br/>Till she sees the mistake she has made?<br/>,,"<br/>Oh dear, what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?<br/>","<br/>Oh dear, what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?<br/>",,"<br/>Dear what can I do?<br/>Baby's in black and I'm feeling blue<br/>Tell me, oh what can I do?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,Bad to Me,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,Blue Jay Way,"<br/>There's a fog upon L.A<br/>And my friends have lost their way<br/>""We'll be over soon,"" they said<br/>Now, they've lost themselves instead<br/>","<br/>Well, it only goes to show<br/>And I told them where to go<br/>Ask a policeman on the street<br/>There's so many there to meet<br/>",,,"<br/>Please, don't be long<br/>Please, don't you be very long<br/>Please, don't be long<br/>For I may be asleep<br/>","<br/>Please, don't be long (Don't be long)<br/>Please, don't you be very long (Don't be long)<br/>Please, don't be long<br/>Or I may be asleep<br/>","<br/>Now, it's past my bed I know (Know)<br/>And I'd really like to go (Go)<br/>Soon will be the break of day (Day)<br/>Sitting here in Blue Jay Way (Way)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,Carol,"<br/>Well come into my machine<br/>So we can move on out<br/>I know a jumping little joint<br/>Where we can jump and shout<br/>It's not too far back on the highway<br/>Not too long a ride<br/>Well you take your car along<br/>And you park it outside<br/>A little cutie takes your hat<br/>And you can thank her, ma'am<br/>Well every time you're going to drive<br/>You find the joint is jammed<br/>","<br/>Well if you want to hear some music<br/>Like the boys all play<br/>Hold tight, tap your foot<br/>Don't let it carry you away<br/>Don't let the heat overcome you<br/>Because they play so loud<br/>While the music will treat you<br/>When they get a crowd<br/>Well you can dance<br/>I know you will, you thought<br/>I got my eyes on you baby<br/>Because you dance so good",,,"<br/>Oh Carol, don't let him<br/>Steal your heart away<br/>Well I've got to learn to dance<br/>If it takes me all night and day<br/>",<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,Child of Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,,Come and Get It (Studio Demo),"<br/>If you want it, here it is<br/>Come and get it<br/>Make your mind up fast<br/>","<br/>If you want it, any time<br/>I can give it<br/>But you better hurry because it may not last<br/>",,,<br/>Did I hear you say that there must be a catch?<br/>Will you walk away from a fool and his money?<br/>,,"<br/>If you want it, here it is<br/>Come and get it<br/>But you better hurry because it's going fast<br/>",,,,,,,,,,<br/>Red light<br/>,,,,,,,,,,,,,,,,,<br/>Demo take one<br/>,"<br/>If you want it, here it is<br/>Come and get it<br/>Make your mind up fast",,,,,,,,,,,,,,,,
33,,,,,Come Together,"<br/>Here come old flat-top, he come groovin' up slowly<br/>He got ju-ju eyeball,<br/> <br/>he one holy roller<br/>He got hair down to his knee<br/>Got to be a joker, he just do what he please<br/>","<br/>He wear no shoeshine, he got toe-jam football<br/>He got monkey finger, he shoot Coca-Cola<br/>He say, ""I know you, you know me""<br/>One thing I can tell you is you got to be free<br/>",,,"<br/>Come together, right now<br/>Over me",,,,,<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>,,,,,,,,,,,,,,,,,,,,,,,,,,<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>Shoot me<br/>,,,,,,,,,,,,,,,
34,,,,,Can’t Buy Me Love,"<br/>I'll buy you a diamond ring, my friend<br/>If it makes you feel alright<br/>I'll get you anything, my friend<br/>If it makes you feel alright<br/>'Cause I don't care too much for money<br/>Money can't buy me love<br/>",<br/>I'll give you all I've got to give<br/>If you say you love me too<br/>I may not have a lot to give<br/>But what I got I'll give to you<br/>I don't care too much for money<br/>Money can't buy me love<br/>,,,"<br/>Can't buy me love, everybody tells me so<br/>Can't buy me love, no-no-no, no!<br/>",,<br/>Say you don't need no diamond rings<br/>And I'll be satisfied<br/>Tell me that you want the kind of things<br/>That money just can't buy<br/>I don't care too much for money<br/>Money can't buy me love<br/>Ow!,,,"<br/>Can't buy me love, love<br/>Can't buy me love<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,Clarabella,"<br/>Well, I got a baby crazy for me<br/>Yeah, I got a baby won't let me be<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah uh<br/>Well, she needs no coaching on making love<br/>All she needs is the stars up above<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah uh<br/>Ahh! Woo hoo<br/>","<br/>Well, she's got no time for a dungeries<br/>Already knows her ABC's<br/>Who, baby baby, Clarabella<br/>Baby baby, Clarabella<br/>Baby baby, wo wo, yeah yeh<br/>Ahh ow! Woo",,,"<br/>Well now, Clarabella<br/>You're my honey, Clarabella<br/>Ooh yeah now, Clarabella<br/>I said you're my baby<br/>Clarabella<br/>Yeah, Clarabella, baby<br/>Wo wo, yeah yeh<br/>",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,,,,,Day Tripper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"<br/>Got a good reason<br/>For taking the easy way out<br/>Got a good reason<br/>For taking the easy way out, now<br/>","<br/>She was a day tripper<br/>A one way ticket, yeah<br/>It took me so long<br/>To find out, and I found out<br/>","<br/>She's a big teaser<br/>She took me half the way there<br/>She's a big teaser<br/>She took me half the way there, now<br/>","<br/>She was a day tripper<br/>A one way ticket, yeah<br/>It took me so long<br/>To find out, and I found out<br/>",,,,,,,,,,,
37,,,,,Devil in Her Heart,"<br/>I'll take my chances, for romance is<br/>So important to me<br/>She'll never hurt me, she won't desert me<br/>She's an angel sent to me<br/>","<br/>I can't believe that she'll ever, ever go<br/>Not when she hugs me and says she loves me so<br/>She'll never hurt me, she won't desert me<br/>Listen, can't you see?<br/>",,,"<br/>(She's got the devil in her heart)<br/>But her eyes, they tantalize<br/>(She's going to tear your heart apart)<br/>Oh, her lips, they really thrill me<br/>","<br/>(She's got the devil in her heart)<br/>No, no, this I can't believe<br/>(She's going to tear your heart apart)<br/>No, no, nay will she deceive<br/>",,"<br/>(She's got the devil in her heart)<br/>Oh, no, no, no, this I can't believe<br/>(She's going to tear your heart apart)<br/>No, no, nay will she deceive",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
